eps,min point,Silhouette Score,Num cluster,Len cluster,Noise,Execution Time (s)
0.3,4,-0.21246280323811093,9,"[(-1, 719), (1, 4), (2, 9), (3, 11), (4, 11), (5, 7), (6, 4), (7, 84), (8, 23), (9, 9)]",727,10.007571458816528
0.3,6,-0.20879346705673013,6,"[(-1, 756), (1, 11), (2, 7), (3, 7), (4, 78), (5, 16), (6, 6)]",768,10.14613938331604
0.3,8,-0.19098778052553889,3,"[(-1, 787), (1, 10), (2, 74), (3, 10)]",799,10.456767320632935
0.3,10,-0.19573073819531833,3,"[(-1, 791), (1, 10), (2, 70), (3, 10)]",808,10.13321828842163
0.3,12,-0.006603231819999995,1,"[(-1, 816), (1, 65)]",816,10.319593667984009
0.3,14,-0.01990795214134862,1,"[(-1, 826), (1, 55)]",826,9.913450002670288
0.3,16,-0.026982606620298045,1,"[(-1, 830), (1, 51)]",832,9.865967273712158
0.3,18,-0.051312296206600126,1,"[(-1, 849), (1, 32)]",865,9.70815372467041
0.3,20,0.0,0,"[(-1, 881)]",881,10.565818548202515
0.4,4,-0.09952556453183967,14,"[(-1, 445), (1, 204), (2, 44), (3, 23), (4, 93), (5, 7), (6, 4), (7, 5), (8, 13), (9, 7), (10, 5), (11, 19), (12, 4), (13, 3), (14, 5)]",464,13.416181087493896
0.4,6,-0.1489478381878294,9,"[(-1, 527), (1, 175), (2, 44), (3, 22), (4, 6), (5, 72), (6, 11), (7, 6), (8, 6), (9, 12)]",537,13.019416809082031
0.4,8,-0.04396944925637739,5,"[(-1, 590), (1, 153), (2, 44), (3, 21), (4, 62), (5, 11)]",598,11.689153671264648
0.4,10,-0.06985465354631219,5,"[(-1, 626), (1, 125), (2, 43), (3, 19), (4, 58), (5, 10)]",636,11.680100917816162
0.4,12,-0.08067672761252312,4,"[(-1, 658), (1, 108), (2, 43), (3, 19), (4, 53)]",663,11.777920722961426
0.4,14,-0.10447648285933163,4,"[(-1, 676), (1, 34), (2, 14), (3, 107), (4, 50)]",696,12.274608850479126
0.4,16,-0.11029415538082654,3,"[(-1, 702), (1, 32), (2, 106), (3, 41)]",729,11.615385055541992
0.4,18,-0.1166673963910098,3,"[(-1, 707), (1, 27), (2, 106), (3, 41)]",731,11.283850908279419
0.4,20,-0.1242650747150178,3,"[(-1, 712), (1, 22), (2, 106), (3, 41)]",734,11.131048917770386
0.5,4,0.07691789653605074,5,"[(-1, 128), (1, 364), (2, 373), (3, 9), (4, 4), (5, 3)]",134,13.026191234588623
0.5,6,0.11192239797394035,3,"[(-1, 164), (1, 356), (2, 354), (3, 7)]",165,12.854193210601807
0.5,8,0.19256401676893484,2,"[(-1, 196), (1, 350), (2, 335)]",196,12.804455995559692
0.5,10,0.17733123704153872,2,"[(-1, 223), (1, 345), (2, 313)]",223,13.40543508529663
0.5,12,0.1490245452764001,3,"[(-1, 255), (1, 276), (2, 56), (3, 294)]",259,12.420753002166748
0.5,14,0.048389643539437435,4,"[(-1, 278), (1, 272), (2, 56), (3, 269), (4, 6)]",285,12.193798780441284
0.5,16,0.13252474207375284,4,"[(-1, 310), (1, 268), (2, 56), (3, 48), (4, 199)]",319,12.053842306137085
0.5,18,0.12066389061512453,4,"[(-1, 333), (1, 262), (2, 54), (3, 42), (4, 190)]",341,11.963252544403076
0.5,20,0.09270239208763036,4,"[(-1, 383), (1, 255), (2, 53), (3, 20), (4, 170)]",388,11.636027097702026
0.6,4,0.28325011218962726,4,"[(-1, 25), (1, 397), (2, 433), (3, 22), (4, 4)]",28,13.617877006530762
0.6,6,0.29236544094094075,3,"[(-1, 33), (1, 395), (2, 431), (3, 22)]",33,13.587634325027466
0.6,8,0.2870887411433857,3,"[(-1, 39), (1, 394), (2, 430), (3, 18)]",39,13.452091932296753
0.6,10,0.2820971767432765,3,"[(-1, 45), (1, 394), (2, 426), (3, 16)]",47,13.418765306472778
0.6,12,0.27505582778645954,3,"[(-1, 57), (1, 384), (2, 424), (3, 16)]",59,13.243486881256104
0.6,14,0.2816344166144578,2,"[(-1, 74), (1, 384), (2, 423)]",74,13.383028984069824
0.6,16,0.27631682352143583,2,"[(-1, 80), (1, 381), (2, 420)]",80,13.289577007293701
0.6,18,0.2706847425200849,2,"[(-1, 87), (1, 379), (2, 415)]",87,13.325634479522705
0.6,20,0.2676856643371691,2,"[(-1, 91), (1, 379), (2, 411)]",96,13.397470474243164
0.7,4,0.30973253614221596,3,"[(-1, 10), (1, 401), (2, 439), (3, 31)]",10,13.771042108535767
0.7,6,0.30973253614221596,3,"[(-1, 10), (1, 401), (2, 439), (3, 31)]",11,13.609731674194336
0.7,8,0.3084439551992278,3,"[(-1, 11), (1, 401), (2, 439), (3, 30)]",12,13.677855968475342
0.7,10,0.30418917789281824,3,"[(-1, 16), (1, 401), (2, 439), (3, 25)]",17,13.8935067653656
0.7,12,0.30418917789281824,3,"[(-1, 16), (1, 401), (2, 439), (3, 25)]",17,13.909955501556396
0.7,14,0.30418917789281824,3,"[(-1, 16), (1, 401), (2, 439), (3, 25)]",20,14.381720304489136
0.7,16,0.3025790806267425,3,"[(-1, 19), (1, 401), (2, 439), (3, 22)]",23,17.841365575790405
0.7,18,0.30200653923722787,3,"[(-1, 20), (1, 400), (2, 439), (3, 22)]",24,14.870458126068115
0.7,20,0.31115964752876474,2,"[(-1, 45), (1, 397), (2, 439)]",45,13.740260362625122
0.8,4,0.3118182895566965,3,"[(-1, 5), (1, 401), (2, 439), (3, 36)]",5,14.093384265899658
0.8,6,0.3111042774192372,3,"[(-1, 6), (1, 401), (2, 439), (3, 35)]",6,23.881287097930908
0.8,8,0.3111042774192372,3,"[(-1, 6), (1, 401), (2, 439), (3, 35)]",6,14.010504484176636
0.8,10,0.31012406774451196,3,"[(-1, 7), (1, 401), (2, 439), (3, 34)]",7,14.07963252067566
0.8,12,0.30649589849459696,3,"[(-1, 11), (1, 401), (2, 439), (3, 30)]",12,22.242258071899414
0.8,14,0.30649589849459696,3,"[(-1, 11), (1, 401), (2, 439), (3, 30)]",12,13.957866430282593
0.8,16,0.30649589849459696,3,"[(-1, 11), (1, 401), (2, 439), (3, 30)]",15,14.349343299865723
0.8,18,0.3064561111399752,3,"[(-1, 12), (1, 401), (2, 439), (3, 29)]",16,14.184868812561035
0.8,20,0.3059404222298901,3,"[(-1, 13), (1, 401), (2, 439), (3, 28)]",17,14.454519748687744
